Year,WB | GDP per capita (current US$),WB | Gini index,WB | Fertility rate (total births per woman),"WB | Adolescent fertility rate (births per 1,000 women ages 15-19)","WB | Population, total",WB | Poverty headcount ratio at $2.15/day (2017 PPP) (%),WB | Poverty headcount ratio at lower-middle-income poverty line (%),WB | Poverty headcount ratio at upper-middle-income poverty line (%),UNESCO | Completion rate for lower secondary education (%),UNESCO | Completion rate for primary education (%),UNESCO | Completion rate for upper secondary education (%),UNESCO | Enrolment in lower secondary education (number),UNESCO | Enrolment in primary education (number),UNESCO | Enrolment in upper secondary education (number),UNESCO | Teachers in lower secondary education (number),UNESCO | Teachers in primary education (number),UNESCO | Teachers in upper secondary education (number)
2004,3663.82262497811,56.5,1.973,76.9,182675143.0,15.3,24.7,49.5,66.1,87.4,45.8,15257989.0,18979208.0,9897115.0,945340.0,887428.0,625174.0
2005,4827.78165890291,56.3,1.942,75.968,184688101.0,13.7,22.7,47.5,67.7,87.9,47.5,15069124.0,18661104.0,9793988.0,965613.0,886781.0,645969.0
2006,5934.14561857454,55.6,1.896,73.845,186653106.0,11.4,19.6,43.7,70.1,89.3,50.4,14709832.0,18328594.0,9433659.0,849156.5,820536.0,587951.5
2007,7409.69003822861,54.9,1.854,71.698,188552320.0,10.8,18.2,41.2,72.0,88.4,51.1,14350540.0,17996084.0,9073330.0,732700.0,754291.0,529934.0
2008,8908.33338467948,54.0,1.815,69.141,190367302.0,9.1,15.9,38.2,74.2,88.4,54.3,14476390.0,17812436.0,9169279.0,786692.0,773624.0,588422.0
2009,8678.6584730653,53.7,1.799,67.334,192079951.0,8.4,14.8,36.3,74.7,88.6,56.8,14416286.0,17451886.0,9200656.0,783747.0,770703.0,594246.0
2010,11403.2840038694,53.3,1.786,65.474,193701929.0,7.75,13.5,34.25,75.80000000000001,89.25,57.75,14254717.0,16893490.0,9284000.0,793669.0,762132.0,618913.0
2011,13396.6263158041,52.9,1.777,64.773,195284734.0,7.1,12.2,32.2,76.9,89.9,58.7,14003596.0,16486880.0,9395813.0,795902.0,774575.0,635268.0
2012,12521.7238454434,53.4,1.766,64.285,196876111.0,6.4,10.7,30.4,78.4,91.6,58.6,13691738.0,16134889.0,9442334.0,805357.0,786411.0,642888.0
2013,12458.8903396625,52.7,1.761,63.947,198478299.0,5.4,9.7,27.9,79.8,91.5,60.1,14931799.0,16760693.0,9949583.0,809183.0,789575.0,632123.0
2014,12274.9941630213,52.1,1.775,63.365,200085127.0,4.8,8.7,26.4,81.4,92.9,61.1,14285779.0,16630217.0,9939166.0,804019.0,795014.0,647294.0
2015,8936.1955889444,51.9,1.777,61.779,201675532.0,5.4,9.4,27.4,82.7,93.2,63.3,13814655.0,16299166.0,9687129.0,789074.0,791787.0,639485.0
2016,8836.28546025694,53.4,1.727,58.372,203218114.0,6.5,10.8,29.1,83.4,93.8,64.0,13678448.0,16118565.0,9859624.0,784080.0,793276.0,633779.0
2017,10080.5078722821,53.3,1.74,56.558,204703445.0,7.0,11.2,29.3,84.0,94.6,64.2,13414172.0,16106812.0,9704007.0,763995.0,796457.0,618348.0
2018,9300.66072904004,53.9,1.744,54.287,206107261.0,6.9,11.1,28.7,85.4,95.1,66.3,13340212.0,15951913.0,9523696.0,763031.0,798957.0,617360.0
2019,9029.83304401079,53.5,1.705,50.958,207455459.0,7.0,10.9,28.0,86.7,95.7,69.3,13171006.0,15690307.0,9077330.0,755425.0,783517.0,612396.0
2020,7074.19407495707,48.8,1.653,47.46,208660842.0,2.8,5.4,20.8,88.8,96.3,73.0,13102388.0,15366611.0,9059953.0,753044.0,774646.0,605297.0
2021,7972.53696080695,52.9,1.638,45.67,209550294.0,7.5,11.5,30.6,88.6,96.7,73.4,13039316.0,15201414.0,9272232.0,752995.0,772790.0,616062.0
2022,9281.33282136864,51.9,1.629,42.881,210306415.0,4.9,8.5,25.3,89.7,97.1,73.5,12863963.0,15280086.0,9261356.0,834862.0,813441.0,661445.0
2023,10377.5897719195,51.5,1.619,42.686,211140729.0,3.8,7.4,23.3,91.1,96.7,73.7,12554509.0,15129503.0,9081272.0,834123.0,819787.0,660010.0
2024,10310.5488778166,50.3,1.614,41.459,211998573.0,3.0,6.2,20.6,91.6549072265625,97.63082122802734,75.84928894042969,12309756.0,15107529.0,9186301.0,596548.8125,696748.375,425928.15625
2025,,,,,,,,,,,,,,,,,
